"KPI","Date","Region","Country Code","Market","Brand","Segment","Series","Model Range","Drivetrain Category","Model Code","Value Actual","Benchmark"
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","X1","U11","NON-BEV","11EG",,
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","X1","U11","NON-BEV","11EG",,13
"Retail - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","X1","U11","NON-BEV","11EG",,4
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,11
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","X1","U11","NON-BEV","11EG",91,160
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","X1","U11","NON-BEV","11EG",,118
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","X1","U11","NON-BEV","11EG",,25
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,41
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","X1","U11","NON-BEV","11EG",,947
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,34
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","X1","U11","NON-BEV","11EG",,5
